City,Country,Date,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Yanam,IN,2017-09-12 10:28:50,16.73,82.22,302.062,79,20,3.94
Alofi,NU,2017-09-12 10:00:00,-19.06,-169.92,295.15,100,75,0.5
Cam Ranh,VN,2017-09-12 10:28:51,11.92,109.16,299.162,100,80,2.14
Hilo,US,2017-09-12 09:36:00,19.73,-155.09,296.15,93,75,3.72
Kushiro,JP,2017-09-12 10:28:51,42.98,144.37,289.662,99,92,6.74
Joigny,FR,2017-09-12 10:00:00,47.98,3.4,291.15,55,75,7.2
New Norfolk,AU,2017-09-12 10:00:00,-42.78,147.06,280.15,93,75,1.14
Cockburn Town,TC,2017-09-12 10:19:41,21.46,-71.14,301.512,98,20,3.37
Dali,CN,2017-09-12 10:19:41,25.7,100.18,291.562,82,88,0.99
Cessnock,AU,2017-09-12 10:00:00,-32.83,151.35,286.15,76,20,2.6
Port Elizabeth,ZA,2017-09-12 09:00:00,-33.92,25.57,292.15,72,75,2.6
Bundaberg,AU,2017-09-12 10:28:53,-24.85,152.35,293.862,99,0,5.54
Kapaa,US,2017-09-12 09:56:00,22.08,-159.32,298.15,88,90,3.6
Ola,RU,2017-09-12 09:00:00,59.58,151.28,270.15,100,0,1
Bezhta,RU,2017-09-12 10:28:54,42.13,46.13,290.312,60,0,0.77
Machali,CL,2017-09-12 10:00:00,-34.18,-70.67,283.15,71,0,1.5
Charters Towers,AU,2017-09-12 10:19:44,-20.1,146.27,289.912,91,0,2.64
Broken Hill,AU,2017-09-12 10:19:45,-31.95,141.43,289.462,44,0,3.94
Abu Dhabi,AE,2017-09-12 10:00:00,24.47,54.37,312.15,42,0,3.6
Conduaga,PH,2017-09-12 10:19:45,8.86,117.49,297.562,100,92,5.44
Kihei,US,2017-09-12 09:56:00,20.79,-156.47,294.15,83,1,2.6
Luba,GQ,2017-09-12 10:00:00,3.46,8.55,302.15,74,40,4.6
Hokitika,NZ,2017-09-12 10:29:46,-42.72,170.97,283.812,100,56,5.34
Mamontovo,RU,2017-09-12 10:29:46,52.71,81.62,283.212,100,92,1.67
Serebryanyy Bor,RU,2017-09-12 10:29:47,56.8,124.8,280.512,76,68,1.17
Requena,ES,2017-09-12 10:00:00,39.49,-1.1,300.15,47,20,4.6
Klimkovice,CZ,2017-09-12 10:00:00,49.79,18.13,290.15,63,20,4.1
Isafjoerdur,IS,2017-09-12 10:00:00,66.08,-23.12,284.15,65,40,6.2
Qasigiannguit,GL,2017-09-12 09:50:00,68.82,-51.19,275.15,69,75,4.6
Tawau,MY,2017-09-12 10:00:00,4.25,117.89,297.15,94,75,1.02
Kundiawa,PG,2017-09-12 10:29:49,-6.02,144.97,283.712,93,0,0.72
Helsinki,FI,2017-09-12 09:50:00,60.17,24.94,291.15,77,40,5.7
Dingle,PH,2017-09-12 10:29:49,11,122.67,297.362,97,92,4.59
Nenjiang,CN,2017-09-12 10:29:50,49.18,125.22,282.512,91,92,3.72
Mumford,GH,2017-09-12 10:29:50,5.26,-0.76,299.162,88,76,4.32
Canavieiras,BR,2017-09-12 10:29:50,-15.68,-38.95,296.112,88,92,3.94
New Milford,US,2017-09-12 09:56:00,40.93,-74.02,295.15,64,1,2.6
Katsuura,JP,2017-09-12 09:30:00,35.13,140.3,299.15,88,75,2.1
Karatau,KZ,2017-09-12 10:29:51,43.17,70.47,284.412,36,0,3.39
Garden City,US,2017-09-12 10:15:00,42.33,-83.33,291.15,68,1,1.92
Vagur,FO,2017-09-12 10:29:52,61.47,-6.81,284.212,99,44,4.04
Gimli,CA,2017-09-12 10:29:52,50.63,-96.99,294.062,63,0,4.17
Ishigaki,JP,2017-09-12 10:29:53,24.34,124.16,303.212,100,92,12.24
Tautira,PF,2017-09-12 10:00:00,-17.73,-149.15,294.15,68,88,2.6
Faanui,PF,2017-09-12 10:29:53,-16.48,-151.75,298.362,100,8,7.14
Olinda,BR,2017-09-12 10:00:00,-8.01,-34.86,301.15,65,20,6.2
Along,IN,2017-09-12 10:29:54,28.17,94.77,293.912,93,0,0.54
Khatanga,RU,2017-09-12 10:29:54,71.97,102.5,276.562,82,0,5.34
Qaanaaq,GL,2017-09-12 10:29:55,77.48,-69.36,272.062,100,32,0.69
Salyan,NP,2017-09-12 10:29:55,28.38,82.17,294.312,92,64,1.04
Konevo,RU,2017-09-12 10:29:55,62.12,39.32,288.162,84,20,2.29
Quatre Cocos,MU,2017-09-12 09:00:00,-20.21,57.76,297.15,64,40,5.1
Tomatlan,MX,2017-09-12 10:20:47,19.93,-105.25,299.462,84,0,1.27
Imishli,AZ,2017-09-12 10:29:56,39.87,48.06,300.562,47,0,2.04
Port Augusta,AU,2017-09-12 10:00:00,-32.5,137.77,285.15,71,0,2.6
Bathsheba,BB,2017-09-12 10:00:00,13.22,-59.52,303.15,79,20,2.6
Am Timan,TD,2017-09-12 10:29:57,11.03,20.28,306.762,54,32,2.07
Qiryat Gat,IL,2017-09-12 09:50:00,31.61,34.76,306.15,43,0,4.6
Zhangjiakou,CN,2017-09-12 10:29:57,40.81,114.88,283.612,77,36,1.69
Al Mijlad,SD,2017-09-12 10:29:58,11.03,27.73,305.662,61,0,2.04
Ambanja,MG,2017-09-12 10:29:58,-13.68,48.45,299.212,46,0,2.49
Porto Santo,PT,2017-09-12 10:00:00,33.07,-16.34,298.15,65,40,7.7
Pratapgarh,IN,2017-09-12 10:29:59,24.03,74.78,296.862,97,24,1.44
Magistralnyy,RU,2017-09-12 10:29:59,56.17,107.45,281.062,65,48,2.12
Aban,RU,2017-09-12 10:29:59,56.67,96.06,284.112,94,0,3.42
Santiago,CL,2017-09-12 09:00:00,-33.46,-70.65,282.15,81,40,1
Togur,RU,2017-09-12 10:30:00,58.36,82.83,279.812,94,80,4.04
Sao Joao da Barra,BR,2017-09-12 10:00:00,-21.64,-41.05,299.15,54,40,11.3
Pisco,PE,2017-09-12 09:00:00,-13.7,-76.22,289.15,82,90,2.1
Sungaipenuh,ID,2017-09-12 10:20:52,-2.08,101.38,291.962,98,32,0.34
Hukuntsi,BW,2017-09-12 10:30:51,-24,21.75,304.362,7,0,6.22
Cayenne,GF,2017-09-12 10:00:00,4.93,-52.33,304.15,66,32,6.2
Muncar,ID,2017-09-12 10:30:55,-8.43,114.33,297.862,88,68,2.64
Oktyabrskiy,RU,2017-09-12 10:30:55,54.48,53.47,291.012,85,92,5.54
Mitchell,US,2017-09-12 09:53:00,43.71,-98.03,292.15,82,1,4.1
Maningrida,AU,2017-09-12 10:30:56,-12.07,134.27,299.512,78,44,4.97
Tuatapere,NZ,2017-09-12 10:30:56,-46.13,167.68,279.962,100,44,3.82
Barenburg,DE,2017-09-12 10:20:00,52.62,8.8,289.15,81,75,8.14
Kuzovatovo,RU,2017-09-12 10:30:57,53.55,47.69,291.612,75,8,3.09
Grande Riviere Sud Est,MU,2017-09-12 10:00:00,-20.29,57.78,297.15,64,40,3.6
Bilma,NE,2017-09-12 10:30:58,18.69,12.92,313.512,10,0,3.39
Saquarema,BR,2017-09-12 10:00:00,-22.92,-42.51,301.15,54,0,10.3
Xiongzhou,CN,2017-09-12 10:30:58,25.12,114.3,297.912,82,24,3.62
The Valley,AI,2017-09-12 10:30:59,18.22,-63.06,301.712,99,0,6.77
Vanimo,PG,2017-09-12 10:30:59,-2.67,141.3,302.562,100,8,4.54
Muzhi,RU,2017-09-12 10:30:59,65.37,64.67,277.212,70,56,5.27
Marsabit,KE,2017-09-12 10:31:00,2.33,37.99,304.162,31,0,5.17
Manokwari,ID,2017-09-12 10:26:40,-0.87,134.08,300.212,100,76,0.84
Sahuaripa,MX,2017-09-12 10:31:00,29.05,-109.23,296.412,62,0,1.17
Nizwa,OM,2017-09-12 10:31:00,22.93,57.53,306.962,21,0,2.24
Rio Cuarto,AR,2017-09-12 10:00:00,-33.13,-64.35,289.15,36,0,9.3
Herowabad,IR,2017-09-12 10:31:01,37.62,48.53,291.112,78,20,0.82
Port-Cartier,CA,2017-09-12 10:00:00,50.03,-66.87,285.15,87,90,4.6
Laharpur,IN,2017-09-12 10:31:02,27.72,80.9,303.662,60,12,2.69
Show Low,US,2017-09-12 09:55:00,34.25,-110.03,291.15,52,1,3.1
Ancud,CL,2017-09-12 10:31:02,-41.87,-73.82,282.262,89,92,2.59
Oleksandrivka,UA,2017-09-12 10:31:03,48.96,32.23,301.562,39,0,6.24
Tanah Merah,MY,2017-09-12 09:00:00,5.8,102.15,300.15,83,75,1.5
Kedougou,SN,2017-09-12 10:31:03,12.56,-12.17,306.662,80,0,2.02
Marigot,MF,2017-09-12 09:55:00,18.07,-63.08,303.15,74,0,6.7
Mackenzie,CA,2017-09-12 10:00:00,55.3,-123.17,273.15,94,1,2.1
Kismaayo,SO,2017-09-12 10:31:06,-0.36,42.55,299.162,96,56,8.77
Kainantu,PG,2017-09-12 10:31:07,-6.29,145.87,289.062,94,0,0.72
Azul,AR,2017-09-12 10:31:07,-36.78,-59.86,287.312,100,0,2.12
Panama City,US,2017-09-12 09:56:00,30.16,-85.66,297.15,64,1,7.7
Chokurdakh,RU,2017-09-12 10:31:08,70.63,147.92,274.162,88,80,6.12
Halifax,CA,2017-09-12 10:00:00,44.65,-63.57,291.15,63,20,6.7
New Bern,US,2017-09-12 10:19:00,35.11,-77.04,297.15,100,90,4.1
Mahibadhoo,MV,2017-09-12 10:21:57,3.78,72.97,300.912,100,92,9.57
Skibbereen,IE,2017-09-12 10:00:00,51.55,-9.27,284.15,93,75,6.2
Koukkuniemi,FI,2017-09-12 09:50:00,60.15,24.76,291.15,77,40,5.7
Atar,MR,2017-09-12 10:21:57,20.52,-13.05,313.912,19,0,2.34
Maniitsoq,GL,2017-09-12 10:22:00,65.42,-52.9,276.512,100,44,1.94
Merauke,ID,2017-09-12 10:22:01,-8.47,140.33,299.812,84,68,6.87
Bitung,ID,2017-09-12 10:00:00,1.45,125.18,299.15,88,40,1.5
Vardo,NO,2017-09-12 09:50:00,70.37,31.11,283.15,93,75,2.6
Jishou,CN,2017-09-12 10:22:02,28.32,109.72,293.462,86,12,1.84
Santiago del Estero,AR,2017-09-12 10:22:03,-27.8,-64.26,292.912,50,24,4.94
Zhanaozen,KZ,2017-09-12 10:32:01,43.3,52.8,298.662,24,0,2.82
Lisakovsk,KZ,2017-09-12 10:32:01,52.54,62.49,279.212,98,92,3.07
Westport,US,2017-09-12 09:56:00,41.14,-73.36,296.15,64,1,1.5
Mount Forest,CA,2017-09-12 10:00:00,43.98,-80.72,288.15,93,1,2.04
Mayumba,GA,2017-09-12 10:32:02,-3.43,10.66,298.012,91,80,4.37
Ushuaia,AR,2017-09-12 09:00:00,-54.8,-68.3,280.15,78,75,10.3
Solton,RU,2017-09-12 10:32:03,52.84,86.48,285.562,94,92,3.69
Pacific Grove,US,2017-09-12 09:55:00,36.62,-121.92,292.15,82,1,2.1
Departamento del Vichada,CO,2017-09-12 10:32:03,5,-69.5,297.262,100,92,0.94
Winslow,US,2017-09-12 09:56:00,35.02,-110.7,291.15,63,1,1.57
West Fargo,US,2017-09-12 10:14:00,46.88,-96.9,292.15,82,1,2.6
Aborlan,PH,2017-09-12 10:32:04,9.44,118.55,298.562,100,68,3.04
Umm Kaddadah,SD,2017-09-12 10:32:05,13.6,26.69,310.612,20,56,3.47
Barcelos,PT,2017-09-12 10:00:00,41.54,-8.62,295.15,77,75,4.1
Asau,RO,2017-09-12 10:00:00,46.43,26.4,302.15,51,20,1.5
Novovarshavka,RU,2017-09-12 10:32:06,54.17,74.69,280.262,88,92,6.99
Toguchin,RU,2017-09-12 10:32:06,55.24,84.39,283.712,95,48,0.77
Dunmore Town,BS,2017-09-12 10:32:06,25.5,-76.65,302.712,99,80,4.52
Dax,FR,2017-09-12 10:00:00,43.71,-1.05,295.15,60,40,4.1
Pemangkat,ID,2017-09-12 10:32:07,1.17,108.97,295.662,100,92,1.29
Skjervoy,NO,2017-09-12 09:50:00,70.03,20.97,289.15,59,75,11.3
Saint-Pierre,RE,2017-09-12 09:30:00,-21.34,55.48,297.15,57,90,5.7
Ostrovnoy,RU,2017-09-12 10:22:11,68.05,39.51,279.662,89,88,3.27
Catuday,PH,2017-09-12 10:32:08,16.29,119.81,299.112,100,100,5.04
Wote,KE,2017-09-12 10:32:08,-1.78,37.63,298.212,43,44,5.22
Vao,NC,2017-09-12 10:22:12,-22.67,167.48,293.562,100,8,4.14
Maloy,NO,2017-09-12 09:50:00,61.94,5.11,288.15,72,75,4.1
Kisangani,CD,2017-09-12 10:32:09,0.52,25.2,300.412,82,48,1.34
Weligama,LK,2017-09-12 10:32:10,5.97,80.42,298.312,100,92,2.07
Fort Nelson,CA,2017-09-12 10:00:00,58.81,-122.7,278.15,93,75,1
Kavaratti,IN,2017-09-12 10:22:13,10.57,72.64,301.112,100,0,3.07
Chernyshevskiy,RU,2017-09-12 10:32:10,63.01,112.47,276.162,84,0,2.92
Richards Bay,ZA,2017-09-12 10:32:11,-28.78,32.04,303.612,46,12,4.72
Achham,NP,2017-09-12 10:22:14,29.05,81.3,297.362,94,44,0.84
Arawa,PG,2017-09-12 10:32:11,-6.21,155.54,298.562,100,88,2.49
Beruwala,LK,2017-09-12 10:32:11,6.48,79.98,299.662,100,76,7.14
Zyryanka,RU,2017-09-12 10:23:05,65.75,150.85,275.162,88,56,2.92
Tabou,CI,2017-09-12 09:00:00,4.42,-7.35,300.15,83,75,4.1
Turan,VN,2017-09-12 09:30:00,16.07,108.22,303.15,79,20,3.1
Padang,ID,2017-09-12 10:23:06,-0.95,100.35,301.012,100,88,4.19
Yellowknife,CA,2017-09-12 10:00:00,62.46,-114.35,282.15,93,90,1.5
Porto Torres,IT,2017-09-12 09:50:00,40.84,8.4,295.15,60,0,5.1
Iqaluit,CA,2017-09-12 10:00:00,63.75,-68.51,275.15,98,90,9.3
Grand Gaube,MU,2017-09-12 10:00:00,-20.01,57.66,297.15,64,40,3.6
Tocopilla,CL,2017-09-12 10:23:07,-22.09,-70.2,287.012,100,24,2.29
Sept-Iles,CA,2017-09-12 10:00:00,50.2,-66.38,285.15,87,90,4.6
Bredasdorp,ZA,2017-09-12 10:00:00,-34.53,20.04,292.15,52,92,4.1
Waingapu,ID,2017-09-12 10:23:08,-9.66,120.26,296.862,83,24,1.34
Boyolangu,ID,2017-09-12 10:32:15,-8.12,111.89,296.512,100,12,3.47
Erdaojiang,CN,2017-09-12 10:32:15,41.78,126.03,280.162,92,0,1.12
Vestmanna,FO,2017-09-12 09:50:00,62.16,-7.17,284.15,93,56,3.6
Praia,CV,2017-09-12 10:00:00,14.92,-23.51,304.15,58,20,10.3
Kermanshah,IR,2017-09-12 10:00:00,34.31,47.06,307.15,4,0,7.2
Gramado,BR,2017-09-12 10:00:00,-29.38,-50.87,291.15,93,90,3.1
Sialo,ML,2017-09-12 10:33:07,13.2,-4.49,304.912,83,12,2.49
Mingshui,CN,2017-09-12 10:33:07,36.72,117.5,287.512,70,0,1.72
Bolingbrook,US,2017-09-12 10:15:00,41.7,-88.07,293.15,82,1,3.6
Poshekhonye,RU,2017-09-12 10:33:08,58.5,39.14,294.062,88,0,3.64
Lasa,IT,2017-09-12 09:55:00,46.62,10.7,288.15,43,75,2.6
Araouane,ML,2017-09-12 10:23:10,18.9,-3.53,314.512,25,0,5.27
Saint-Andre-Avellin,CA,2017-09-12 10:00:00,45.72,-75.07,290.15,82,20,2.62
Svetlaya,RU,2017-09-12 10:33:09,46.54,138.33,286.812,100,92,6.64
Mareeba,AU,2017-09-12 10:00:00,-17,145.43,295.15,73,75,3.6
Vila Velha,BR,2017-09-12 09:00:00,-20.33,-40.29,295.15,94,75,2.6
Tsiroanomandidy,MG,2017-09-12 10:33:09,-18.77,46.03,298.412,30,0,1.12
Jacqueville,CI,2017-09-12 10:00:00,5.21,-4.41,299.15,94,75,3.1
Baruun-Urt,MN,2017-09-12 10:23:15,46.68,113.28,280.762,56,0,3.74
Palora,EC,2017-09-12 10:33:10,-1.7,-77.93,295.362,78,24,1.47
Tonk,IN,2017-09-12 10:33:11,26.17,75.78,300.262,87,56,1.12
Zalantun,CN,2017-09-12 10:33:11,48,122.72,281.062,87,0,2.02
Egvekinot,RU,2017-09-12 10:33:11,66.32,-179.17,264.512,77,0,0.94
Dalton,ZA,2017-09-12 10:23:17,-29.34,30.63,303.812,22,20,2.02
San Andres Huaxpaltepec,MX,2017-09-12 10:33:12,16.32,-97.93,300.512,76,12,1.59
Putyatino,RU,2017-09-12 10:33:12,54.16,41.12,293.912,79,0,2.64
Namibe,AO,2017-09-12 10:23:17,-15.2,12.15,292.962,97,0,2.34
Yaksatovo,RU,2017-09-12 10:00:00,46.24,48.02,296.15,40,0,7
Turukhansk,RU,2017-09-12 10:23:18,65.82,87.98,278.362,91,80,2.12
Ozamiz City,PH,2017-09-12 10:33:13,8.15,123.84,296.712,100,44,1.69
Tavda,RU,2017-09-12 10:33:13,58.04,65.27,276.212,82,0,1.59
Benguela,AO,2017-09-12 10:00:00,-12.58,13.41,297.15,69,75,2.1
Hermanus,ZA,2017-09-12 10:23:19,-34.42,19.23,292.012,41,68,1.92
Knysna,ZA,2017-09-12 10:00:00,-34.04,23.05,289.15,82,20,3.1
Kahului,US,2017-09-12 09:56:00,20.89,-156.47,294.15,83,1,2.6
Maceio,BR,2017-09-12 10:00:00,-9.67,-35.74,299.15,74,75,8.2
Chernogorsk,RU,2017-09-12 10:00:00,53.82,91.28,287.15,76,0,3
Vegreville,CA,2017-09-12 10:32:24,53.5,-112.05,286.712,44,100,5.64
Urcos,PE,2017-09-12 10:00:00,-13.69,-71.62,286.15,50,75,1.5
Avon,US,2017-09-12 10:20:00,41.45,-82.04,292.15,63,1,3.82
Staraya Mayna,RU,2017-09-12 10:00:00,54.6,48.95,296.15,56,0,5
San Jeronimito,MX,2017-09-12 09:43:00,17.55,-101.33,300.15,88,75,1
Kutum,SD,2017-09-12 10:24:13,14.2,24.67,307.212,22,92,4.32
Boundiali,CI,2017-09-12 10:33:17,9.52,-6.49,300.912,96,20,2.14
Biloela,AU,2017-09-12 10:33:18,-24.42,150.5,287.812,88,0,3.74
Longyearbyen,SJ,2017-09-12 09:50:00,78.22,15.64,279.15,70,75,11.8
Bud,US,2017-09-12 10:15:00,39.45,-86.18,290.15,67,75,6.7
Hope Mills,US,2017-09-12 10:11:00,34.97,-78.95,296.15,100,90,3.6
Saint-Leu,RE,2017-09-12 10:00:00,-21.15,55.28,296.15,56,90,6.2
Kuntaur,GM,2017-09-12 10:33:19,13.67,-14.88,306.812,84,0,1.89
Batagay,RU,2017-09-12 10:24:16,67.63,134.63,267.812,71,0,0.82
Campo Formoso,BR,2017-09-12 10:33:20,-10.51,-40.32,301.212,44,20,6.02
Mar del Plata,AR,2017-09-12 09:00:00,-38,-57.56,286.15,71,0,4.1
Lao Cai,VN,2017-09-12 10:34:11,22.48,103.95,292.962,96,12,0.49
Altamira,BR,2017-09-12 10:00:00,-3.2,-52.21,304.15,66,75,1.5
Chagoda,RU,2017-09-12 10:34:12,59.16,35.33,294.312,87,68,3.99
Belyy Yar,RU,2017-09-12 10:00:00,53.6,91.39,287.15,76,0,3
Sheridan,US,2017-09-12 09:53:00,44.8,-106.96,296.15,55,1,1.39
Al Khālidīyah,SA,2017-09-12 09:00:00,24.62,46.76,313.15,8,20,3.1
Waipawa,NZ,2017-09-12 10:00:00,-41.41,175.52,281.15,93,12,1.5
Worland,US,2017-09-12 09:53:00,44.02,-107.96,287.15,62,1,1.39
Atbasar,KZ,2017-09-12 10:34:14,51.8,68.33,278.512,63,36,3.07
Bauchi,NG,2017-09-12 10:34:14,10.31,9.84,305.462,56,12,2.07
Trevi,IT,2017-09-12 09:55:00,41.9,12.49,298.15,64,40,5.1
Vaini,TO,2017-09-12 10:00:00,-21.2,-175.2,294.15,88,75,3.69
Calvinia,ZA,2017-09-12 10:34:15,-31.47,19.78,300.562,14,68,4.82
Huarmey,PE,2017-09-12 10:24:22,-10.07,-78.15,293.062,59,0,1.79
Atuona,PF,2017-09-12 10:24:22,-9.8,-139.03,298.562,100,32,4.52
Ribeira Grande,PT,2017-09-12 10:00:00,38.52,-28.7,298.15,73,20,3.1
Bandarban,BD,2017-09-12 10:00:00,22.2,92.23,300.15,83,75,2.6
Moosonee,CA,2017-09-12 10:00:00,51.28,-80.63,290.15,67,1,6.2
Kununurra,AU,2017-09-12 10:00:00,-15.77,128.73,296.15,64,0,1.82
Paragominas,BR,2017-09-12 10:24:25,-2.97,-47.48,304.312,72,0,3.39
Chingirlau,KZ,2017-09-12 10:34:17,51.09,54.08,293.562,37,36,5.99
Mitu,CO,2017-09-12 10:29:41,1.2,-70.17,301.912,78,56,1.29
Bolobo,CD,2017-09-12 10:34:18,-2.17,16.23,299.162,92,20,1.57
Castro,BR,2017-09-12 10:24:27,-24.79,-50.01,300.262,58,0,2.84
Tete,MZ,2017-09-12 09:00:00,-16.16,33.59,308.15,21,0,3.6
Haines Junction,CA,2017-09-12 10:25:20,60.75,-137.51,266.612,89,0,0.92
Opuwo,NA,2017-09-12 10:25:20,-18.06,13.84,305.662,11,0,2.39
Lohja,FI,2017-09-12 10:20:00,60.25,24.07,290.15,82,75,6.7
Davila,PH,2017-09-12 09:00:00,18.47,120.58,302.15,74,40,5.1
Kirakira,SB,2017-09-12 10:25:21,-10.45,161.92,300.312,100,76,8.87
Zhuhai,CN,2017-09-12 10:00:00,22.28,113.57,304.15,66,20,3.1
Kawerau,NZ,2017-09-12 10:34:20,-38.1,176.7,281.062,88,32,2.87
Vostok,RU,2017-09-12 10:25:22,46.49,135.88,284.812,100,92,1.04
Samarai,PG,2017-09-12 10:25:22,-10.62,150.67,298.562,100,92,8.14
Lavrentiya,RU,2017-09-12 10:25:24,65.58,-171,277.462,100,56,9.54
Yar-Sale,RU,2017-09-12 10:25:22,66.83,70.83,278.012,100,64,3.37
Wajir,KE,2017-09-12 10:34:21,1.75,40.06,306.012,33,48,5.94
Ulaangom,MN,2017-09-12 10:34:22,49.98,92.07,283.262,34,0,2.29
Coahuayana,MX,2017-09-12 09:42:00,18.73,-103.68,296.15,83,40,1.89
Dombarovskiy,RU,2017-09-12 10:34:22,50.76,59.54,287.862,63,100,6.24
Elko,US,2017-09-12 09:56:00,40.83,-115.76,287.15,50,1,1.17
Tabuk,PH,2017-09-12 10:34:23,17.42,121.44,294.712,96,80,1.94
Jiamusi,CN,2017-09-12 10:34:23,46.83,130.35,282.412,79,12,2.82
Sokolo,ML,2017-09-12 10:34:23,14.73,-6.12,309.662,59,0,2.14
Zuenoula,CI,2017-09-12 10:34:24,7.43,-6.04,298.312,95,80,4.64
Kerouane,GN,2017-09-12 10:34:24,9.27,-9.02,300.362,86,20,1.82
Aripuana,BR,2017-09-12 10:34:24,-9.17,-60.63,305.412,60,0,1.37
Paamiut,GL,2017-09-12 10:34:24,61.99,-49.67,277.312,97,0,6.39
Cidreira,BR,2017-09-12 10:25:25,-30.18,-50.21,289.812,100,92,2.87
Bridgetown,BB,2017-09-12 10:00:00,13.1,-59.62,303.15,79,20,2.6
Lata,PT,2017-09-12 10:00:00,40.16,-8.33,295.15,56,0,8.7
Winnemucca,US,2017-09-12 09:56:00,40.97,-117.74,292.15,68,75,4.1
Yumen,CN,2017-09-12 10:35:16,40.28,97.2,290.112,57,100,5.42
Metkovic,HR,2017-09-12 10:00:00,43.05,17.65,295.15,78,75,1.5
Sulina,RO,2017-09-12 10:35:17,45.16,29.65,300.262,63,0,6.47
Jiayuguan,CN,2017-09-12 10:35:17,39.82,98.3,282.162,89,68,0.94
Tadine,NC,2017-09-12 10:25:28,-21.55,167.88,293.812,100,20,4.82
Oyama,JP,2017-09-12 10:18:00,36.3,139.8,295.15,100,40,0.5
Tual,ID,2017-09-12 10:25:30,-5.67,132.75,299.362,99,80,4.77
Tyrma,RU,2017-09-12 10:35:18,50.08,132.17,281.312,94,80,0.92
Susanville,US,2017-09-12 10:15:00,40.42,-120.65,289.15,82,1,2.1
Grindavik,IS,2017-09-12 09:30:00,63.84,-22.43,283.15,87,75,4.1
Lorengau,PG,2017-09-12 10:25:31,-2.02,147.27,302.162,100,8,4.44
Middle Island,US,2017-09-12 10:15:00,40.88,-72.94,296.15,64,1,2.6
Rikitea,PF,2017-09-12 10:25:32,-23.12,-134.97,294.262,100,12,6.09
Campo Verde,BR,2017-09-12 10:00:00,-20.42,-54.07,305.15,29,0,7.7
Waki,JP,2017-09-12 10:35:20,34.07,134.15,296.312,100,76,1.72
Evensk,RU,2017-09-12 10:25:33,61.95,159.23,279.812,100,0,5.64
Los Llanos de Aridane,ES,2017-09-12 10:00:00,28.66,-17.92,300.15,61,40,4.6
Shetpe,KZ,2017-09-12 10:35:21,44.17,52.12,297.262,21,0,2.92
Manzhouli,CN,2017-09-12 10:35:21,49.6,117.43,277.062,82,0,1.57
Champerico,GT,2017-09-12 10:00:00,14.3,-91.92,300.15,69,40,1.34
