City,Country,Date,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Reo,BF,2017-09-12 10:28:39,12.32,-2.47,304.962,71,32,2.04
Dalby,AU,2017-09-12 09:00:00,-27.18,151.27,288.15,47,0,4.6
Saint-Philippe,RE,2017-09-12 10:00:00,-21.36,55.77,296.15,56,90,6.2
Saskylakh,RU,2017-09-12 10:28:40,71.92,114.08,270.962,82,0,1.22
Niquero,CU,2017-09-12 10:28:40,20.04,-77.58,303.762,90,20,2.72
Mamallapuram,IN,2017-09-12 10:00:00,12.63,80.17,303.15,74,20,4.1
Bandarbeyla,SO,2017-09-12 10:28:41,9.49,50.81,299.262,88,8,11.39
Manggar,ID,2017-09-12 10:28:41,-2.88,108.27,298.912,90,24,3.19
Russell,US,2017-09-12 09:56:00,38.9,-98.86,292.15,59,1,3.1
Nouadhibou,MR,2017-09-12 10:00:00,20.93,-17.03,298.15,69,0,8.2
Panaba,MX,2017-09-12 10:28:42,21.28,-88.27,302.612,80,0,1.82
Hami,CN,2017-09-12 10:28:43,42.8,93.45,294.812,41,80,0.69
Itoman,JP,2017-09-12 09:56:00,26.12,127.67,303.15,88,40,9.8
Phek,IN,2017-09-12 10:28:43,25.67,94.5,292.212,95,64,0.14
Gamba,GA,2017-09-12 10:28:44,-2.65,10,301.412,66,80,4.27
Gyanpur,IN,2017-09-12 10:28:44,25.35,82.47,299.862,93,8,1.27
Krasnogorskoye,RU,2017-09-12 10:28:44,57.71,52.5,282.512,98,92,1.44
Teluknaga,ID,2017-09-12 10:00:00,-6.1,106.64,300.15,69,40,2.6
Mount Isa,AU,2017-09-12 10:00:00,-20.73,139.5,289.15,48,0,1.89
Narasannapeta,IN,2017-09-12 10:28:46,18.42,84.05,299.812,89,56,1.79
Bom Sucesso,GY,2017-09-12 10:28:46,3.38,-59.8,300.412,100,32,2.17
Alto Araguaia,BR,2017-09-12 10:28:46,-17.31,-53.22,308.762,23,0,4.84
Kyra,RU,2017-09-12 10:28:47,49.58,111.98,276.212,83,0,1.02
Katherine,AU,2017-09-12 10:00:00,-14.47,132.27,296.15,56,0,2.1
Margate,GB,2017-09-12 09:50:00,51.38,1.39,292.15,42,20,7.2
Mairinque,BR,2017-09-12 10:00:00,-23.55,-47.18,302.15,36,0,2.1
Hentiesbaai,NA,2017-09-12 10:28:48,-22.12,14.28,290.562,81,0,3.92
Toora-Khem,RU,2017-09-12 10:28:49,52.47,96.11,281.812,77,48,0.37
Taquarituba,BR,2017-09-12 10:28:49,-23.53,-49.24,303.062,51,8,3.94
Leningradskiy,RU,2017-09-12 10:28:49,69.38,178.42,274.162,100,56,1.62
Sabang,ID,2017-09-12 10:28:49,5.89,95.32,301.512,100,76,1.34
Clyde River,CA,2017-09-12 09:00:00,70.47,-68.59,273.15,100,90,2.1
